report_month,serial_no,project_code,state,approval_date,start_date,target_doc,revised_doc,physical_progress
2025-06,34,N24001079,Andaman and Nicobar Islands,2020-11,2020-10,2019-06,2019-07,
2025-06,35,N24001080,Andaman and Nicobar Islands,2020-10,2019-06,2019-07,2019-06,
2025-06,36,N24001090,Andaman and Nicobar Islands,2019-06,2019-07,2019-06,2019-06,
2025-06,37,N24001101,Andaman and Nicobar Islands,2019-06,2019-07,2019-06,2019-06,
2025-06,38,N24001102,Maharashtra,2019-06,2019-06,2019-07,2019-12,
2025-06,39,N24001138,Maharashtra,2019-06,2019-07,2019-12,2020-06,
2025-06,19,N24001254,Maharashtra,2021-07,2021-07,2023-09,2023-08,
2025-06,2,N24001272,Uttar Pradesh,2025-01,2030-03,2030-03,2025-02,
2025-06,3,N24001273,Uttar Pradesh,2030-03,2030-03,2025-02,2030-03,
2025-06,20,N24001286,Maharashtra,2021-07,2023-09,2023-08,2024-06,
2025-06,21,N24001339,Maharashtra,2023-09,2023-08,2024-06,2023-05,
2025-06,15,N24001440,Maharashtra,2021-09,2026-03,2024-06,2023-04,
2025-06,16,N24001600,Maharashtra,2024-06,2023-04,2021-07,2021-07,
2025-06,17,N24001603,Maharashtra,2024-06,2023-04,2021-07,2021-07,
2025-06,8,N24001887,Uttar Pradesh,2031-03,2029-12,2030-03,2022-07,
2025-06,9,N24001888,Uttar Pradesh,2031-03,2029-12,2030-03,2022-07,
2025-06,10,N24001889,Maharashtra,2031-03,2029-12,2030-03,2022-07,
2025-06,11,N24001894,Maharashtra,2031-03,2029-12,2030-03,2022-07,
2025-06,12,N24001895,Maharashtra,2029-12,2030-03,2022-07,2022-09,
2025-06,13,N24001905,Maharashtra,2022-07,2022-09,2021-09,2026-03,
2025-06,14,N24001909,Maharashtra,2022-09,2021-09,2026-03,2024-06,
2025-06,4,N24001966,Himachal Pradesh,2025-02,2030-03,2030-03,2020-02,
2025-06,18,N24002137,Maharashtra,2023-04,2021-07,2021-07,2023-09,
2025-06,5,N24002245,Madhya Pradesh,2019-06,2024-03,2023-09,2021-11,
2025-06,42,N28000121,Madhya Pradesh,2020-06,2019-12,2019-07,2019-07,
2025-06,5,N28000154,Himachal Pradesh,2020-02,2029-03,2029-03,2025-05,
2025-06,41,N28000159,Madhya Pradesh,2019-12,2020-06,2019-12,2019-07,
2025-06,40,N38000001,Madhya Pradesh,2019-07,2019-12,2020-06,2019-12,
2025-07,601,108000,Chhattisgarh,2002-03,2025-02,2026-02,2022-03,53.0
2025-07,605,124005,Chhattisgarh,2015-11,2025-02,2026-03,2016-12,96.0
2025-07,734,188000,Arunachal Pradesh,2022-05,2023-11,2025-11,2021-10,80.52
2025-07,218,400005,Arunachal Pradesh,2023-11,2025-07,2025-11,2025-03,8.1
2025-07,14,400010,Karnataka,2024-07,2026-01,2018-10,2023-07,15.0
2025-07,332,400012,Andhra Pradesh,2024-08,2026-03,2026-03,2023-03,92.0
2025-07,732,400013,Arunachal Pradesh,2021-09,2023-03,2025-11,2022-05,4.0
2025-07,46,400018,Chhattisgarh,2013-08,2023-03,2030-03,2020-08,47.0
2025-07,548,400019,Madhya Pradesh,2025-03,2027-12,2029-03,2023-04,9.0
2025-07,609,400022,Chhattisgarh,2016-03,2024-03,2026-12,2016-09,14.0
2025-07,530,400023,Jharkhand,2023-03,2025-03,2023-04,2025-06,21.7
2025-07,84,400033,Madhya Pradesh,2019-07,2026-03,2019-07,2023-03,85.0
2025-07,25,400035,Arunachal Pradesh,2016-03,2018-12,2025-09,2016-01,26.0
2025-07,335,400043,Andhra Pradesh,2018-12,2022-12,2025-08,2017-06,62.0
2025-07,636,400045,Madhya Pradesh,2025-12,2027-12,2021-09,2026-03,82.0
2025-07,183,400062,Uttar Pradesh,2022-09,2027-05,2028-03,2022-05,40.0
2025-07,715,400065,Jharkhand,2015-05,2017-10,2027-06,2025-02,4.0
2025-07,47,400073,Chhattisgarh,2020-08,2029-03,2020-12,2029-03,48.0
2025-07,48,400074,Chhattisgarh,2020-12,2029-03,2016-03,2023-03,49.0
2025-07,336,400077,Andhra Pradesh,2017-06,2025-05,2026-06,2019-09,85.0
2025-07,331,400078,Andhra Pradesh,2024-08,2026-03,2026-03,2023-03,84.0
2025-07,360,400087,Gujarat,2022-06,2026-03,2026-03,2023-01,73.0
2025-07,787,400093,Uttar Pradesh,2008-04,2019-12,2026-06,2009-04,0.0
2025-07,782,400094,Maharashtra,2007-04,2019-12,2025-06,2008-01,0.0
2025-07,762,400095,Madhya Pradesh,1997-04,2019-12,2024-12,2008-04,50.0
2025-07,759,400096,Andhra Pradesh,2019-12,2027-03,2004-11,2022-04,3.0
2025-07,755,400097,Andhra Pradesh,2023-04,2025-04,2025-12,2024-11,90.3
2025-07,747,400100,Andhra Pradesh,2022-03,2025-02,2025-12,2019-07,95.0
2025-07,748,400101,Andhra Pradesh,2022-03,2025-02,2025-12,2019-07,98.0
2025-07,783,400102,Maharashtra,2008-01,2019-12,2024-12,2010-01,96.0
2025-07,784,400103,Maharashtra,2010-01,2019-12,2025-01,2009-04,92.0
2025-07,751,400104,Andhra Pradesh,2019-07,2025-12,2018-03,2025-04,44.0
2025-07,763,400105,Madhya Pradesh,2008-04,2019-12,2025-06,2009-12,76.22
2025-07,764,400107,Madhya Pradesh,2009-12,2022-12,2004-04,2019-12,2.0
2025-07,765,400109,Madhya Pradesh,2004-04,2019-12,2025-03,1996-04,69.0
2025-07,753,400111,Andhra Pradesh,2018-03,2025-04,2025-12,2018-03,71.0
2025-07,766,400112,Madhya Pradesh,1996-04,2019-12,2025-03,2012-01,90.0
2025-07,760,400115,Madhya Pradesh,1996-12,2022-12,2025-03,2007-04,74.0
2025-07,761,400116,Madhya Pradesh,2007-04,2019-12,2026-03,1997-04,79.0
2025-07,788,400117,Uttar Pradesh,2009-04,2019-12,2025-03,1997-04,66.0
2025-07,409,400119,Maharashtra,2011-07,2024-06,2025-12,2023-07,89.0
2025-07,339,400120,Andhra Pradesh,2019-01,2024-07,2025-09,2021-12,96.0
2025-07,714,400121,Chhattisgarh,2026-01,2022-10,2025-12,2015-05,4.0
2025-07,49,400136,Chhattisgarh,2029-03,2016-03,2023-03,2026-03,50.0
2025-07,50,400138,Chhattisgarh,2016-03,2023-03,2026-03,2020-05,51.0
2025-07,51,400139,Chhattisgarh,2020-05,2025-03,2025-06,2015-02,52.0
2025-07,286,400141,Madhya Pradesh,2019-03,2025-06,2019-11,2024-05,75.0
2025-07,52,400142,Chhattisgarh,2015-02,2026-03,2015-07,2026-03,53.0
2025-07,30,400144,Uttar Pradesh,2023-08,2024-11,2025-08,2018-09,6.0
2025-07,31,400145,Uttar Pradesh,2024-01,2025-08,2018-09,2026-03,50.0
2025-07,32,400147,Uttar Pradesh,2018-09,2026-03,2024-07,2027-07,10.0
2025-07,72,400148,Madhya Pradesh,2020-11,2027-03,2021-05,2028-03,4.0
2025-07,33,400149,Uttar Pradesh,2024-07,2027-07,2027-07,2024-07,40.0
2025-07,53,400150,Chhattisgarh,2018-05,2026-03,2023-01,2029-03,54.0
2025-07,54,400151,Chhattisgarh,2023-01,2029-03,2022-10,2033-03,55.0
2025-07,73,400152,Madhya Pradesh,2021-05,2028-03,2020-02,2028-03,8.0
2025-07,55,400153,Chhattisgarh,2022-10,2033-03,2024-11,2030-03,56.0
2025-07,56,400154,Chhattisgarh,2022-10,2033-03,2024-11,2030-03,57.0
2025-07,57,400155,Chhattisgarh,2024-11,2030-03,2025-01,2029-03,58.0
2025-07,58,400156,Chhattisgarh,2025-01,2029-03,2017-01,2025-03,59.0
2025-07,383,400158,Madhya Pradesh,2020-12,2023-06,2026-06,2022-03,84.0
2025-07,59,400160,Jharkhand,2017-01,2025-03,2022-08,2029-03,60.0
2025-07,423,400161,Uttar Pradesh,2022-06,2026-05,2026-05,2024-06,97.0
2025-07,74,400162,Madhya Pradesh,2009-12,2016-03,2027-03,2018-08,25.0
2025-07,112,400165,Madhya Pradesh,2022-09,2028-03,2024-06,2030-03,42.0
2025-07,113,400166,Madhya Pradesh,2024-06,2030-03,2016-08,2022-03,54.0
2025-07,361,400167,Gujarat,2023-09,2026-05,2026-05,2021-08,94.0
2025-07,384,400168,Madhya Pradesh,2022-03,2032-03,2032-03,2019-11,85.0
2025-07,362,400169,Gujarat,2021-08,2024-07,2025-10,2023-04,77.0
2025-07,415,400171,Rajasthan,2022-12,2030-06,2030-06,2023-08,95.0
2025-07,60,400172,Jharkhand,2022-08,2029-03,2022-01,2032-03,61.0
2025-07,134,400173,West Bengal,2024-03,2033-03,2022-11,2029-03,30.0
2025-07,708,400174,Chhattisgarh,2022-06,2026-02,2026-02,2010-03,51.0
2025-07,85,400177,Madhya Pradesh,2019-07,2023-03,2027-03,2020-11,86.0
2025-07,86,400178,Madhya Pradesh,2020-11,2025-03,2028-03,2014-12,87.0
2025-07,114,400179,Madhya Pradesh,2016-08,2022-03,2026-03,2019-01,41.0
2025-07,135,400180,West Bengal,2022-11,2029-03,2023-04,2030-03,16.0
2025-07,136,400181,West Bengal,2023-04,2030-03,2021-12,2025-03,25.0
2025-07,137,400182,West Bengal,2030-03,2021-12,2025-03,2027-03,14.0
2025-07,115,400183,Madhya Pradesh,2018-11,2024-03,2026-03,2024-09,30.0
2025-07,116,400185,Madhya Pradesh,2024-09,2030-03,2025-01,2030-03,17.0
2025-07,138,400186,West Bengal,2021-12,2025-03,2027-03,2017-05,10.0
2025-07,117,400187,Madhya Pradesh,2025-01,2030-03,2025-02,2030-03,61.0
2025-07,253,400188,Uttar Pradesh,2025-01,2026-12,2026-12,2024-12,0.0
2025-07,153,400192,Uttar Pradesh,2020-04,2026-03,2023-01,2028-03,34.0
2025-07,151,400203,Uttar Pradesh,2021-07,2029-03,2019-03,2020-09,49.0
2025-07,674,400204,Uttar Pradesh,2024-02,2026-12,2024-02,2027-06,8.0
2025-07,675,400205,Uttar Pradesh,2024-02,2027-06,2020-04,2019-02,50.0
2025-07,477,400220,Chhattisgarh,2011-03,2024-12,2025-03,1998-12,94.0
2025-07,633,400223,Madhya Pradesh,2018-07,2025-03,2026-02,2004-10,80.0
2025-07,147,400231,West Bengal,2018-08,2029-03,2018-05,2027-03,1.0
2025-07,637,400232,Madhya Pradesh,2021-09,2026-03,2025-12,2018-03,24.0
2025-07,591,400234,Andhra Pradesh,2008-10,2016-09,2028-03,2025-03,88.0
2025-07,325,400235,Andhra Pradesh,2022-11,2024-10,2026-01,2020-06,0.0
2025-07,692,400247,Uttar Pradesh,2016-03,2026-12,2027-03,2020-09,82.47
2025-07,578,400253,Andhra Pradesh,2008-04,2014-03,2027-12,2019-04,89.0
2025-07,464,400254,Andhra Pradesh,2024-05,2027-04,2024-03,2026-06,81.0
2025-07,150,400259,Uttar Pradesh,2020-04,2029-03,2021-07,2029-03,5.0
2025-07,170,400261,Himachal Pradesh,2024-09,2029-09,2021-05,2025-12,2.0
2025-07,549,400271,Madhya Pradesh,2023-04,2027-03,2027-03,2023-04,98.25
2025-07,693,400273,Uttar Pradesh,2020-09,2025-01,2027-03,2021-04,90.0
2025-07,581,400275,Andhra Pradesh,2016-12,2022-03,2026-12,2022-01,10.877
2025-07,694,400277,Uttar Pradesh,2021-04,2026-02,2027-02,2017-03,80.0
2025-07,668,400280,Tamil Nadu,2021-11,2026-11,2026-11,2023-01,99.0
2025-07,478,400291,Chhattisgarh,1998-12,2024-12,2027-03,2004-10,2.0
2025-07,448,400298,Andhra Pradesh,2026-11,2021-07,2026-01,2023-01,17.975
2025-07,287,400299,Madhya Pradesh,2019-03,2025-06,2019-11,2024-05,51.0
2025-07,333,400301,Andhra Pradesh,2023-03,2027-07,2027-07,2023-04,67.0
2025-07,139,400312,West Bengal,2017-05,2026-03,2017-05,2026-03,12.0
2025-07,109,400313,Maharashtra,2023-10,2030-03,2021-03,2029-03,14.0
2025-07,140,400315,West Bengal,2017-05,2026-03,2019-05,2025-03,2.0
2025-07,75,400321,Madhya Pradesh,2018-08,2026-03,2020-08,2031-03,76.0
2025-07,61,400352,Jharkhand,2022-01,2032-03,2022-01,2029-03,62.0
2025-07,87,400353,Madhya Pradesh,2014-12,2026-03,2024-01,2026-03,1.2
2025-07,34,400354,Uttar Pradesh,2024-07,2027-07,2027-07,2024-07,70.0
2025-07,110,400369,Madhya Pradesh,2024-04,2030-03,2024-06,2030-03,16.0
2025-07,118,400392,Madhya Pradesh,2025-02,2030-03,2009-08,2019-08,47.0
2025-07,152,400416,Uttar Pradesh,2023-12,2030-03,2020-04,2026-03,2.0
2025-07,35,400424,Uttar Pradesh,2024-07,2027-07,2027-07,2024-07,2.0
2025-07,62,400425,Jharkhand,2022-01,2029-03,2027-03,2032-03,2.5
2025-07,285,400426,Madhya Pradesh,2022-12,2027-12,2025-01,2029-01,1.0
2025-07,723,400429,Andhra Pradesh,2024-06,2026-08,2022-02,2025-05,1.0
2025-07,16,602096,Arunachal Pradesh,2013-03,2026-08,2021-06,2023-11,17.0
2025-07,302,602098,Arunachal Pradesh,2013-03,2026-08,2021-06,2023-11,2.0
2025-07,299,602099,Arunachal Pradesh,2017-12,2025-03,2026-03,2023-12,92.0
2025-07,17,602181,Arunachal Pradesh,2014-09,2022-03,2025-07,2014-05,18.0
2025-07,13,602182,Arunachal Pradesh,2023-12,2026-02,2022-07,2031-07,14.0
2025-07,184,602184,Uttar Pradesh,2028-03,2022-05,2024-04,2025-12,6.0
2025-07,180,602185,Madhya Pradesh,2022-11,2024-08,2003-09,2010-09,4.0
2025-07,181,602193,Madhya Pradesh,2022-11,2024-08,2003-09,2010-09,98.0
2025-07,178,602194,Madhya Pradesh,2024-11,2029-03,2022-11,2024-08,2.0
2025-07,182,602195,Uttar Pradesh,2003-09,2010-09,2026-05,2022-09,2.0
2025-07,20,602223,Arunachal Pradesh,2023-02,2032-02,2032-02,2025-05,21.0
2025-07,166,602525,Arunachal Pradesh,2023-02,2032-02,2032-02,2025-05,71.0
2025-07,167,602532,Arunachal Pradesh,2025-05,2029-07,2019-06,2024-01,66.0
2025-07,168,602535,Himachal Pradesh,2019-06,2024-01,2025-11,2023-08,24.0
2025-07,185,602538,Uttar Pradesh,2019-03,2024-03,2027-12,2021-03,31.0
2025-07,158,602579,Arunachal Pradesh,2024-01,2030-03,2023-03,2024-09,2.0
2025-07,162,602582,Arunachal Pradesh,2026-08,2022-05,2025-06,2016-10,67.0
2025-07,163,602593,Arunachal Pradesh,2025-06,2016-10,2026-05,2026-05,51.0
2025-07,164,602633,Arunachal Pradesh,2016-10,2026-05,2026-05,2019-09,0.5
2025-07,479,602792,Chhattisgarh,2002-03,2023-03,2025-08,2007-06,14.4
2025-07,635,602797,Madhya Pradesh,2004-10,2025-12,2027-12,2021-09,6.0
2025-07,174,602961,Madhya Pradesh,2018-02,2020-04,2026-09,2019-03,26.0
2025-07,154,603293,Uttar Pradesh,2023-01,2028-03,2024-11,2037-03,2.0
2025-07,778,603945,Maharashtra,2018-04,2028-06,1996-04,2019-12,62.0
2025-07,26,604791,Arunachal Pradesh,2016-03,2018-12,2025-09,2016-01,27.0
2025-07,27,604792,Arunachal Pradesh,2016-01,2018-12,2027-03,2017-10,28.0
2025-07,418,604795,Tamil Nadu,2020-07,2024-01,2026-08,2021-04,10.0
2025-07,327,604833,Andhra Pradesh,2020-06,2022-09,2026-03,2024-04,50.0
2025-07,338,604852,Uttar Pradesh,2017-10,2022-10,2026-03,2019-01,2.0
2025-07,370,604853,Gujarat,2021-08,2026-02,2026-02,2017-02,63.0
2025-07,407,604859,Madhya Pradesh,2020-06,2023-05,2025-09,2011-07,90.0
2025-07,28,604863,Arunachal Pradesh,2016-01,2018-12,2027-03,2017-10,1.2
2025-07,169,605155,Himachal Pradesh,2023-08,2028-06,2024-09,2029-09,3.0
2025-07,18,605156,Arunachal Pradesh,2014-05,2029-12,2029-12,2012-09,19.0
2025-07,313,605292,Madhya Pradesh,2021-08,2024-03,2025-09,2020-03,100.0
2025-07,295,606013,Arunachal Pradesh,2018-05,2025-03,2026-05,2016-02,1.0
2025-07,7,606112,Arunachal Pradesh,2018-03,2025-03,2022-07,2024-07,8.0
2025-07,304,606431,Himachal Pradesh,2022-11,2025-09,2025-01,2026-10,1.0
2025-07,318,606479,Uttar Pradesh,2012-09,2025-12,2019-09,2021-03,93.0
2025-07,226,606781,Uttar Pradesh,2022-12,2025-03,2026-04,2024-02,59.0
2025-07,29,607701,Arunachal Pradesh,2017-10,2022-10,2026-03,2019-01,30.0
2025-07,19,607709,Arunachal Pradesh,2022-01,2025-01,2025-09,2024-03,20.0
2025-07,222,608301,Uttar Pradesh,2024-09,2026-03,2024-11,2026-05,8.0
2025-07,202,608302,Gujarat,2024-10,2026-07,2024-11,2026-11,99.0
2025-07,219,608922,Arunachal Pradesh,2025-03,2027-03,2023-03,2024-11,20.0
2025-07,320,609019,Uttar Pradesh,2020-07,2023-06,2025-12,2025-04,87.0
2025-07,321,609041,Uttar Pradesh,2025-04,2027-10,2022-01,2025-01,30.0
2025-07,436,609424,Maharashtra,2022-11,2025-11,2025-11,2022-06,10.0
2025-07,11,609736,Arunachal Pradesh,2018-03,2025-03,2022-07,2024-07,12.0
2025-07,317,609996,Telangana,2014-05,2029-12,2029-12,2012-09,71.0
2025-07,311,610315,Madhya Pradesh,2020-10,2023-06,2025-08,2021-08,97.0
2025-07,303,610940,Himachal Pradesh,2022-08,2024-07,2026-01,2022-11,1.0
2025-07,375,610984,Jharkhand,2021-07,2025-07,2026-03,2022-08,58.0
2025-07,385,610985,Madhya Pradesh,2032-03,2019-11,2024-01,2025-08,78.0
2025-07,141,611016,West Bengal,2019-05,2025-03,2026-03,2022-12,97.0
2025-07,63,611017,Jharkhand,2027-03,2032-03,2020-08,2032-03,8.5
2025-07,10,611047,Andhra Pradesh,2024-01,2026-01,2026-03,2020-09,11.0
2025-07,16,611440,Andhra Pradesh,2018-10,2023-07,2025-11,2019-12,17.0
2025-07,608,611452,Chhattisgarh,2016-12,2024-12,2026-06,2016-03,92.0
2025-07,26,611495,Uttar Pradesh,2026-03,2026-10,2023-12,2026-02,27.0
2025-07,171,611509,Himachal Pradesh,2021-05,2025-12,2025-12,2021-05,90.0
2025-07,17,611570,Andhra Pradesh,2023-07,2026-06,2026-06,2024-01,18.0
2025-07,165,611586,Arunachal Pradesh,2056-12,2027-04,2023-02,2032-02,29.0
2025-07,21,611602,Andhra Pradesh,2024-02,2025-09,2026-03,2018-09,22.0
2025-07,656,611614,Rajasthan,2015-04,2024-11,2026-01,2015-12,82.54
2025-07,449,611615,Andhra Pradesh,2021-07,2026-01,2023-01,2027-12,29.225
2025-07,190,611656,Andhra Pradesh,2011-06,2022-06,2025-11,2014-01,4.5
2025-07,191,611657,Andhra Pradesh,2025-02,2029-06,2014-09,2019-09,2.0
2025-07,233,611659,Madhya Pradesh,2024-02,2026-02,2024-08,2026-08,2.0
2025-07,192,611660,Andhra Pradesh,2014-09,2019-09,2029-03,2021-02,7.0
2025-07,595,611669,Andhra Pradesh,2014-08,2025-02,2025-12,2016-04,0.0
2025-07,14,611698,Arunachal Pradesh,2022-07,2031-07,2022-11,2030-11,15.0
2025-07,15,611699,Arunachal Pradesh,2022-11,2030-11,2013-03,2026-08,16.0
2025-07,220,611735,Maharashtra,2016-01,2018-12,2027-03,2016-03,20.0
2025-07,189,611737,Andhra Pradesh,2006-11,2013-03,2029-04,2011-06,4.5
2025-07,550,611751,Madhya Pradesh,2023-04,2027-03,2027-03,2023-04,6.0
2025-07,450,611752,Andhra Pradesh,2023-03,2025-09,2026-01,2022-08,25.0
2025-07,451,611754,Andhra Pradesh,2022-08,2025-08,2022-01,2024-03,0.0
2025-07,283,611798,Uttar Pradesh,2016-06,2023-03,2024-06,2022-12,0.0
2025-07,284,611800,Uttar Pradesh,2022-12,2027-12,2025-01,2029-01,1.0
2025-07,657,611849,Rajasthan,2015-12,2018-11,2026-03,2027-05,45.0
2025-07,612,611861,Himachal Pradesh,2019-09,2024-03,2012-07,2027-03,29.0
2025-07,64,611864,Jharkhand,2020-08,2032-03,2019-12,2028-09,65.0
2025-07,527,611884,Gujarat,2023-04,2026-12,2023-06,2026-12,57.0
2025-07,371,611917,Gujarat,2017-02,2026-03,2026-03,2021-04,25.0
2025-07,504,611918,Chhattisgarh,2024-05,2027-02,2027-02,2024-05,40.0
2025-07,452,611927,Andhra Pradesh,2022-01,2024-03,2025-09,2015-12,24.0
2025-07,658,611929,Rajasthan,2027-05,2028-05,2022-10,2028-03,0.0
2025-07,159,611930,Arunachal Pradesh,2023-03,2024-09,2025-09,2024-02,1.0
2025-07,505,611937,Chhattisgarh,2024-05,2026-11,2026-11,2024-05,42.0
2025-07,506,611938,Chhattisgarh,2024-05,2027-01,2027-01,2022-09,55.0
2025-07,507,611939,Chhattisgarh,2024-05,2027-01,2027-01,2022-09,25.0
2025-07,508,611943,Gujarat,2022-09,2026-12,2026-12,2024-06,11.0
2025-07,509,611944,Gujarat,2024-03,2027-12,2019-04,2024-04,23.0
2025-07,510,611945,Gujarat,2024-04,2027-06,2019-10,2024-06,18.0
2025-07,234,611947,Madhya Pradesh,2024-08,2026-08,2024-08,2026-08,20.0
2025-07,235,611948,Madhya Pradesh,2024-08,2026-08,2025-03,2027-03,1.0
2025-07,236,611949,Madhya Pradesh,2024-08,2026-08,2025-03,2027-03,1.0
2025-07,237,611950,Madhya Pradesh,2025-03,2027-03,2023-12,2025-12,1.0
2025-07,238,611951,Rajasthan,2023-12,2025-12,2026-06,2024-12,1.0
2025-07,305,611957,Himachal Pradesh,2025-01,2026-10,2021-02,2025-03,20.0
2025-07,319,611963,Uttar Pradesh,2013-07,2024-12,2025-08,2020-07,24.0
2025-07,211,611966,Madhya Pradesh,2025-01,2027-06,2025-02,2027-06,4.5
2025-07,186,611967,Andhra Pradesh,2019-03,2024-03,2027-12,2021-03,3.0
2025-07,511,611969,Gujarat,2019-10,2024-06,2027-12,2019-10,54.0
2025-07,512,611970,Gujarat,2019-10,2023-12,2026-03,2019-12,24.0
2025-07,513,611971,Gujarat,2019-12,2024-04,2026-12,2019-12,26.0
2025-07,514,611972,Gujarat,2019-12,2024-12,2026-12,2019-09,37.0
2025-07,515,611973,Gujarat,2019-09,2024-06,2027-12,2020-04,53.0
2025-07,516,611974,Gujarat,2020-04,2025-03,2028-01,2022-07,0.0
2025-07,551,611975,Madhya Pradesh,2023-04,2027-03,2027-03,2023-04,0.0
2025-07,552,611976,Madhya Pradesh,2023-04,2028-03,2028-03,1998-03,0.0
2025-07,517,611977,Gujarat,2022-05,2026-05,2026-05,2022-05,0.0
2025-07,518,611978,Gujarat,2022-05,2026-05,2026-05,2017-04,0.0
2025-07,519,611979,Gujarat,2017-04,2001-06,2026-06,2023-02,4.0
2025-07,653,611980,Odisha,2025-09,2029-12,2025-10,2028-07,1.0
2025-07,22,612063,Andhra Pradesh,2022-07,2024-07,2026-12,2023-05,1.0
2025-07,520,612072,Gujarat,2023-02,2028-01,2028-01,2023-02,16.0
2025-07,695,612096,Uttar Pradesh,2017-03,2024-12,2026-03,2017-03,5.0
2025-07,300,612128,Arunachal Pradesh,2023-12,2027-06,2013-03,2026-08,1.0
2025-07,221,612132,Maharashtra,2016-03,2018-12,2025-09,2024-09,1.0
2025-07,231,612133,Madhya Pradesh,2024-11,2026-11,2022-03,2024-12,3.5
2025-07,239,612134,Rajasthan,2024-12,2026-12,2023-03,2024-09,5.5
2025-07,306,612135,Himachal Pradesh,2021-02,2025-03,2026-03,2020-08,2.0
2025-07,227,612138,Uttar Pradesh,2024-02,2025-08,2026-05,2022-02,5.5
2025-07,193,612139,Andhra Pradesh,2023-09,2025-09,2026-04,2023-12,3.0
2025-07,204,612140,Karnataka,2024-10,2026-10,2025-02,2027-02,37.0
2025-07,179,612142,Madhya Pradesh,2022-11,2024-08,2003-09,2010-09,4.0
2025-07,194,612151,Andhra Pradesh,2023-12,2025-09,2025-11,2025-03,2.0
2025-07,5,612183,Andhra Pradesh,1996-12,2022-12,2025-03,1997-04,6.0
2025-07,6,612194,Andhra Pradesh,1996-12,2022-12,2025-03,1997-04,7.0
2025-07,307,612203,Himachal Pradesh,2020-08,2023-10,2026-02,2024-03,16.0
2025-07,716,612781,West Bengal,2025-02,2027-01,2025-02,2026-10,12.0
2025-07,1,612786,Arunachal Pradesh,2016-02,2025-03,2025-12,2010-05,6.0
2025-07,11,612787,Andhra Pradesh,2020-09,2022-09,2025-12,2023-08,12.0
2025-07,12,612788,Andhra Pradesh,2023-08,2025-08,2025-12,2018-03,28.0
2025-07,13,612789,Karnataka,2025-03,2027-09,2024-07,2026-01,14.0
2025-07,377,612790,Jharkhand,2022-11,2026-08,2026-08,2019-06,63.0
2025-07,27,612791,Uttar Pradesh,2023-12,2026-02,2023-06,2025-07,28.0
2025-07,3,612793,Manipur,2018-03,2025-03,2022-07,2024-07,4.0
2025-07,480,612815,Chhattisgarh,2007-06,2024-12,2025-07,2011-01,63.0
2025-07,142,612816,West Bengal,2022-12,2025-03,2026-03,2021-08,7.0
2025-07,148,612819,West Bengal,2018-05,2027-03,2023-03,2029-03,50.0
2025-07,453,612827,Andhra Pradesh,2015-12,2026-03,2026-03,2023-04,4.0
2025-07,638,612834,Madhya Pradesh,2018-03,2024-12,2026-12,2018-03,85.6
2025-07,45,612838,Chhattisgarh,2013-08,2023-03,2030-03,2020-08,46.0
2025-07,296,612851,Arunachal Pradesh,2017-04,2026-11,2019-11,2025-05,88.0
2025-07,401,612853,Andhra Pradesh,2027-09,2027-09,2019-09,2025-03,36.0
2025-07,195,612855,Andhra Pradesh,2025-03,2027-12,2023-02,2023-11,18.0
